Name,Username,Category,Followers,Avg. Likes,Avg.Comment,Eng. Rate,Growth Rate,Profile
jeje,@ajengfazhh_,Beauty,1.4M,73.8K,182,5.22%,0.00%,https://www.instagram.com/ajengfazhh_/
Dara,@daraarafah,Beauty,3.2M,31.7K,92,0.99%,0.06%,https://www.instagram.com/daraarafah/
Gabriel Prince,@phrrince,Beauty,1.7M,56.7K,83,3.28%,0.04%,https://www.instagram.com/phrrince/
Tengku Dewi Putri,@tengkudewiputri_tdp,Beauty,1.5M,62K,32,4.03%,0.15%,https://www.instagram.com/tengkudewiputri_tdp/
𝗠𝗶𝘀𝘀 𝗚𝗿𝗮𝗻𝗱 𝗜𝗻𝘁𝗲𝗿𝗻𝗮𝘁𝗶𝗼𝗻𝗮𝗹,@missgrandinternational,Beauty,5.6M,16.7K,248,0.30%,-0.45%,https://www.instagram.com/missgrandinternational/
June Wanwimol Jaenasavamethee,@junewanwimol1,Beauty,1.2M,69.7K,204,5.87%,1.44%,https://www.instagram.com/junewanwimol19/
Wirda Mansur,@wirda_mansur,Beauty,2.4M,31.7K,168,1.30%,-0.13%,https://www.instagram.com/wirda_mansur/
Fahira Almira,@fahiramira,Beauty,1.9M,31.8K,100,1.72%,0.03%,https://www.instagram.com/fahiramira/
Gisela Lenny Chandra,@gisela_lenny,Beauty,1.6M,36.1K,5,2.22%,0.80%,https://www.instagram.com/gisela_lenny/
krista,@kkrriiista,Beauty,1.7M,33.6K,48,1.93%,0.05%,https://www.instagram.com/kkrriiista/
Ni kadek Indrayoni,@kdindra_yoni,Beauty,1.8M,33K,737,1.90%,6.38%,https://www.instagram.com/kdindra_yoni/
Siti Norhasyimah,@syima_eima,Beauty,1.6M,33.4K,132,2.08%,0.85%,https://www.instagram.com/syima_eima/
Nadzira Shafa Askar,@enazirashf_,Beauty,1.7M,31.6K,52,1.87%,0.37%,https://www.instagram.com/enazirashf_/
𝕒𝕀𝕤𝕪𝕒𝕙 𝔸𝕄,@aisyahvier,Beauty,680.6K,56.7K,138,8.34%,0.13%,https://www.instagram.com/aisyahvier/
Nayla Denny Purnama.,@nayladpurnama,Beauty,1.5M,31.4K,83,2.08%,-0.29%,https://www.instagram.com/nayladpurnama/
Dianda Sabrina,@sabrindh,Beauty,1.3M,31.6K,60,2.38%,-0.20%,https://www.instagram.com/sabrindh/
𝗕𝗮𝗹𝗾𝗶𝘀𝘀 𝗚𝗿𝗮𝗹𝗶𝗻𝗱,@mybalqiss,Beauty,909.2K,37.2K,119,4.10%,1.27%,https://www.instagram.com/mybalqiss/
Nana Mirdad,@nanamirdad_,Beauty,3.9M,9.7K,52,0.25%,0.05%,https://www.instagram.com/nanamirdad_/
Alfina Nindiyani,@nindiyaa__,Beauty,908.6K,33.2K,87,3.65%,0.04%,https://www.instagram.com/nindiyaa__/
Michaelchanz,@michaelchanz,Beauty,226K,141.8K,54,62.74%,0.54%,https://www.instagram.com/michaelchanz/
JENNY BURGARTZ,@jennyburgartz,Beauty,1M,33.3K,37,3.18%,0.48%,https://www.instagram.com/jennyburgartz/
Official Acc of ALIFA LUBIS,@alifalubis,Beauty,3.6M,9.5K,9.5K,0.26%,-0.05%,https://www.instagram.com/alifalubis/
Amelia Andani,@ameliandanii,Beauty,1.6M,21.5K,59,1.39%,0.00%,https://www.instagram.com/ameliandanii/
Shirin Al Athrus,@shireeenz,Beauty,1.5M,21.1K,40,1.39%,-0.20%,https://www.instagram.com/shireeenz/
marie claire korea 마리끌레르,@marieclairekorea,Beauty,4.1M,7.5K,2,0.18%,0.81%,https://www.instagram.com/marieclairekorea/
Jihane Almira Chedid,@jihanealmira,Beauty,2.8M,10.8K,103,0.39%,-0.25%,https://www.instagram.com/jihanealmira/
Deslya anggraini,@deslyaa,Beauty,124.4K,319.3K,18,256.65%,-0.31%,https://www.instagram.com/deslyaa/
Bianca Kartika | 비앙카 🇮🇩,@biancakartika,Beauty,964.1K,22.5K,130,2.34%,0.57%,https://www.instagram.com/biancakartika/
Bastian Bintang Simbolon,@bastiansteel,Beauty,2.6M,10.2K,78,0.39%,-0.10%,https://www.instagram.com/bastiansteel/
Safira Ratu Sofya,@ratusfy_,Beauty,3M,8.7K,59,0.29%,-0.38%,https://www.instagram.com/ratusfy_/
Yukii Takahashi,@yukiiitakahashi,Beauty,1.2M,22K,68,1.91%,-0.04%,https://www.instagram.com/yukiiitakahashi/
W Korea,@wkorea,Beauty,4.5M,6.3K,12,0.14%,0.50%,https://www.instagram.com/wkorea/
Rey Utami,@reyutami,Beauty,2.1M,10.9K,44,0.53%,3.19%,https://www.instagram.com/reyutami/
MK SKIN,@maharanikemala,Beauty,3.3M,6.7K,498,0.21%,0.11%,https://www.instagram.com/maharanikemala/
𝘈NSELLMAPUTRI,@ansellmaputri,Beauty,1.5M,13.7K,38,0.91%,-0.28%,https://www.instagram.com/ansellmaputri/
VOGUE KOREA,@voguekorea,Beauty,4.7M,4K,3,0.08%,0.91%,https://www.instagram.com/voguekorea/
Jovi Adhiguna Hunter 🦄,@joviadhiguna,Beauty,874.6K,20.6K,447,2.38%,-0.06%,https://www.instagram.com/joviadhiguna/
Hesfi Natia,@hesfinatia,Beauty,1.3M,14K,27,1.11%,0.15%,https://www.instagram.com/hesfinatia/
Nasya Kaila Nazifah,@nasyakailanazifah,Beauty,1.1M,16.7K,155,1.60%,-0.12%,https://www.instagram.com/nasyakailanazifah/
Gladys,@gladys_klt,Beauty,1.5M,11.3K,9,0.73%,-0.02%,https://www.instagram.com/gladys_klt/
Kathy Picos 🇵🇪 🇺🇸,@kathypicos,Beauty,1.3M,13.6K,159,1.07%,-0.05%,https://www.instagram.com/kathypicos/
Abel Cantika ♥,@abellyc,Beauty,1.2M,15K,56,1.30%,1.01%,https://www.instagram.com/abellyc/
TASYA REVINA,@tasyarevina,Beauty,1.2M,13.9K,38,1.14%,-0.10%,https://www.instagram.com/tasyarevina/
Titan Tyra,@titantyra,Beauty,815.9K,19.1K,140,2.34%,0.32%,https://www.instagram.com/titantyra/
Diniyah Nurmala,@diniyaan,Beauty,1.2M,13.4K,35,1.10%,-0.08%,https://www.instagram.com/diniyaan/
Genshin Impact,@genshinimpact,Computers & Gadgets,4.1M,95.3K,622,2.33%,1.04%,https://www.instagram.com/genshinimpact/
Indosat Ooredoo Hutchison,@indosat,Computers & Gadgets,2.3M,59.4K,32,2.58%,0.00%,https://www.instagram.com/indosat/
Team RRQ,@teamrrq,Computers & Gadgets,5.6M,19.4K,259,0.35%,0.46%,https://www.instagram.com/teamrrq/
M Ikhsan,@ikhsan_lemon,Computers & Gadgets,3.4M,26.9K,542,0.79%,-0.22%,https://www.instagram.com/ikhsan_lemon/
Google,@google,Computers & Gadgets,15.3M,4.4K,79,0.03%,0.00%,https://www.instagram.com/google/
Clara mongstar 👽,@claraksu,Computers & Gadgets,946.9K,58.4K,324,6.18%,-0.02%,https://www.instagram.com/claraksu/
EVOS ESPORTS,@evosesports,Computers & Gadgets,7M,7.2K,51,0.10%,-0.14%,https://www.instagram.com/evosesports/
Mobile Legends: Bang Bang ID,@realmobilelegendsid,Computers & Gadgets,12.2M,3.4K,118,0.03%,0.49%,https://www.instagram.com/realmobilelegendsid/
Mobile Legends: Bang Bang,@mobilelegendsgame,Computers & Gadgets,11.2M,2.6K,24,0.02%,0.02%,https://www.instagram.com/mobilelegendsgame/
Ajazil Hawaris | Metadigital 🚀,@metadigital.az,Computers & Gadgets,2M,6.1K,73,0.30%,2.45%,https://www.instagram.com/metadigital.az/
dky,@dky_tuturu,Computers & Gadgets,741.9K,12.6K,63,1.70%,-0.17%,https://www.instagram.com/dky_tuturu/
Maju Indonesia,@maju.idn,Computers & Gadgets,61.8K,165.3K,22,265.47%,2.75%,https://www.instagram.com/maju.idn/
ELKasiiiH,@frontalgamingch,Computers & Gadgets,3.7M,2.8K,27,0.08%,-0.23%,https://www.instagram.com/frontalgamingch/
KOMUNITAS GAMER INDONESIA,@indonesiangamer,Computers & Gadgets,672.6K,10.4K,52,1.55%,-0.22%,https://www.instagram.com/indonesiangamer/
